;Year;Municipality;Yield;Huglin_Index;Hot_D;Very_Hot_D;Sever_Heat;Frost_D;Late_Frost;Sever_Frost;Climatic_Dryness_Index;Soil_Water_Stock;Soil_pH;cluster
1;2010;30029;74,24976258;2085,647;36;0;0;61;0;0;-125,5242895;88,13257432;8,052183362;5
2;2011;30029;83,50900682;2292,8315;25;3;0;28;0;0;-178,6413058;88,13257432;8,052183362;5
3;2012;30029;81,53187773;2161,0945;37;7;0;33;0;0;-131,432117;88,13257432;8,052183362;5
4;2013;30029;74,5023663;1948,6055;29;0;0;47;0;0;-67,5607929;88,13257432;8,052183362;5
5;2014;30029;79,10844832;2011,7445;9;0;0;10;0;0;-113,8962187;88,13257432;8,052183362;5
6;2015;30029;55,55960213;2288,042;38;3;2,6;20;0;0;-200,8399172;88,13257432;8,052183362;5
7;2016;30029;90,74637526;2083,5355;33;0;0;21;0;0;-161,2327755;88,13257432;8,052183362;5
8;2017;30029;73,22189078;2209,6075;35;2;1,7;28;0;0;-232,1911342;88,13257432;8,052183362;5
9;2018;30029;65,94082044;2323,062;37;5;6,7;16;0;0;3,756708387;88,13257432;8,052183362;5
10;2011;30124;80,60191083;2270,5835;24;3;0;27;0;0;-175,2579071;80,33327507;7,787819712;5
11;2012;30124;59;2135,2415;35;7;0;34;0;0;-126,5733613;80,33327507;7,787819712;5
12;2013;30124;67,44444444;1922,5465;25;0;0;47;0;0;-61,36689806;80,33327507;7,787819712;5
13;2014;30124;9;1986,6125;9;0;0;10;0;0;-108,6541295;80,33327507;7,787819712;5
14;2015;30124;37,29950739;2262,9615;37;3;2,6;20;0;0;-195,5799452;80,33327507;7,787819712;5
15;2016;30124;54,82686981;2055,5195;31;0;0;21;0;0;-156,1366;80,33327507;7,787819712;5
16;2017;30124;37,20247295;2184,424;34;2;1,7;26;0;0;-227,424151;80,33327507;7,787819712;5
17;2010;30266;71,75529412;2246,3785;43;1;0;53;0;0;-222,0255118;90,49909545;8,068666533;7
18;2011;30266;59,944483;2420,7575;28;3;0;25;0;0;-235,6143923;90,49909545;8,068666533;7
19;2015;30266;68,80325329;2433,066;45;6;3,7;16;0;0;-259,6022531;90,49909545;8,068666533;7
20;2016;30266;91,63812155;2288,9175;48;0;0;18;0;0;-245,8278961;90,49909545;8,068666533;7
21;2017;30266;78,32026144;2407,6765;55;7;5,5;27;0;0;-301,4852652;90,49909545;8,068666533;7
22;2010;30242;73,98231511;2172,785;38;1;0;56;0;0;-208,9455957;82,85604796;7,966866737;7
23;2011;30143;90;2351,6445;26;3;0;25;0;0;-227,1599531;81,51447908;7,930492917;7
24;2011;30242;85,5;2351,6445;26;3;0;25;0;0;-227,1599531;82,85604796;7,966866737;7
25;2012;30143;90;2233,246;40;5;0,1;29;0;0;-155,0403852;81,51447908;7,930492917;7
26;2012;30242;75,91370558;2233,246;40;5;0,1;29;0;0;-155,0403852;82,85604796;7,966866737;7
27;2013;30242;66,57142857;2047,125;29;0;0;48;0;0;-146,4130563;82,85604796;7,966866737;7
28;2013;30143;85,53289474;2047,125;29;0;0;48;0;0;-146,4130563;81,51447908;7,930492917;7
