Unnamed: 0;concatene_climatic;Municipality;nom_commune;code_departement;cluster;nom_region;Year;latitude;longitude;Climatic_Dryness_Index;Hot_D;Very_Hot_D;jours_secs;precipitation_total_avril_septembre;precipitation_total;tmax_mean;temp_moyenne;tmin_mean;amplitude_thermique;Frost_D;Huglin_Index;stress_climatique;deficit_hydrique;Soil_pH;Soil_Water_Stock;Late_Frost;jours_pluie
#;;;a;;;;;;;mm;;;;mm;mm;°C;°C;°C;°C;;°C-jours;;mm;;mm;;
;340012012;34001;abeilhan;34;5;occitanie;2012;43,457634;3,2998164;-235,2703198;19;0;279;307,3;684,8;18,86830601;14,58661202;10,30491803;8,563387978;19;2149,875;61,6303;248,27;8,06797903;94,44158381;0;86
;340012013;34001;abeilhan;34;5;occitanie;2013;43,457634;3,2998164;-235,2703198;17;0;256;352,9;936,6;17,98383562;13,98493151;9,986027397;7,997808219;17;1989,725;52,306;220,71;8,06797903;94,44158381;0;109
;340012014;34001;abeilhan;34;5;occitanie;2014;43,457634;3,2998164;-235,2703198;9;0;245;477,3;987,2;19,25561644;15,32630137;11,3969863;7,858630137;1;2149,95;12,1977;197,27;8,06797903;94,44158381;0;120
;340012015;34001;abeilhan;34;5;occitanie;2015;43,457634;3,299816;-235,2703198;33;0;286;355,9;707,9;19,41123288;15,19739726;10,98356164;8,427671233;6;2272,35;50,5704;250,41;8,06797903;94,44158381;0;79
;340012016;34001;abeilhan;34;5;occitanie;2016;43,457634;3,299816;-235,2703198;34;0;275;303,6;954,9;19,20245902;15,07103825;10,93961749;8,26284153;1;2197,425;40,9028;244,64;8,06798;94,44158;0;90
;340012017;34001;abeilhan;34;5;occitanie;2017;43,457634;3,299816;-235,2703198;34;2;291;147,4;623,4;19,57945205;14,88890411;10,19835616;9,38109589;24;2287,5;91,3297;276,26;8,06798;94,44158;0;74
;340012018;34001;abeilhan;34;5;occitanie;2018;43,457634;3,299816;-235,2703198;44;4;241;399,1;1288,5;19,69369863;15,33054795;10,96739726;8,72630137;15;2393,425;83,3212;201,09;8,06798;94,44158;0;124
;340012019;34001;abeilhan;34;5;occitanie;2019;43,457634;3,299816;-235,2703198;51;3;271;303,4;665,6;19,97452055;15,17164384;10,36876712;9,605753425;9;2353,125;78,8038;240,66;8,06798;94,44159;0;94
;340012020;34001;abeilhan;34;5;occitanie;2020;43,457634;3,299816;-235,2703;39;2;249;411,5;790,9;19,69726776;15,26229508;10,8273224;8,869945355;2;2329,05;49,1806;207,85;8,06798;94,44159;0;116
