Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total_avril_septembre;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34001;abeilhan;34;5;occitanie;43,457634;3,2998164;254;208;230;209;229;229;27,583334;29,266665;26,966665;29,966667;28,033333;28,033333;22,4750005;23,3749985;21,791666;24,166667;22,7999995;22,7999995;17,366667;17,483332;16,616667;18,366667;17,566666;17,483332;10,550001
;34002;adissan;34;3;occitanie;43,5350037;3,4260292;256;209;231;208;230;230;27,683332;29,316666;27,066668;30,050001;28,133331;28,133331;22,599999;23,5;21,9250015;24,2833335;22,9333325;22,9333325;17,516666;17,683334;16,783335;18,516666;17,733334;17,683334;10,449997
;34003;agde;34;6;occitanie;43,3092957;3,4841318;237;197;218;195;216;216;27,25;28,866669;26,65;29,516668;27,716667;27,716667;22,675;23,616668;22,041666;24,391667;23,041667;23,041667;18,1;18,366667;17,433332;19,266666;18,366667;18,366667;9,35
;34004;agel;34;3;occitanie;43,3479614;2,8535292;267;223;243;223;244;243;26,433332;28,25;25,716665;28,949999;26,866667;26,866667;21,4916665;22,408333;20,741666;23,241666;21,8416675;21,8416675;16,550001;16,566666;15,766667;17,533333;16,816668;16,566666;10,300001
;34006;aigne;34;3;occitanie;43,3260345;2,7927752;263;220;238;219;240;238;26,566666;28,433332;25,866669;29,1;27,016668;27,016668;21,65;22,5749995;20,900001;23,3999995;22;22;16,733334;16,716667;15,933333;17,699999;16,983332;16,733334;10,283334
;30003;aigues mortes;30;6;occitanie;43,5505409;4,1841888;270;226;252;224;248;248;27,766665;29,116667;27,066666;29,783333;28,099998;28,099998;22,8916655;23,6833335;22,15;24,4000005;23,091666;23,091666;18,016666;18,25;17,233334;19,016668;18,083334;18,083334;10,016664
;11001;aigues vives;11;1;occitanie;43,2351379;2,5328343;279;233;254;232;254;254;26,816668;28,716667;26,15;29,349998;27,349998;27,349998;21,658334;22,6083335;20,916667;23,416666;22,091666;22,091666;16,5;16,5;15,683334;17,483334;16,833334;16,5;10,849998
;30004;aigues vives;30;5;occitanie;43,7343712;4,1911063;295;245;271;244;269;269;28,200003;29,6;27,433334;30,316666;28,483335;28,483335;22,8416685;23,591667;22,008334;24,325;22,9833335;22,9833335;17,483334;17,583334;16,583334;18,333334;17,483332;17,483334;11,000001
;34007;aigues vives;34;3;occitanie;43,3478889;2,8253129;271;227;246;226;246;246;26,316668;28,166666;25,616667;28,866667;26,75;26,75;21,375;22,299999;20,6166665;23,125;21,716666;21,716666;16,433332;16,433332;15,616666;17,383333;16,683332;16,433332;10,316668
