Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34001;abeilhan;34;5;occitanie;43,457634;3,2998164;613;593;561;579;571;579;21,775;22,516668;21,175001;23,300001;21,883331;21,883331;17,1625;17,566667;16,483334;18,370834;17,204166;17,204166;12,55;12,616666;11,791667;13,441667;12,525001;12,55;9,333331
;34002;adissan;34;3;occitanie;43,5350037;3,4260292;619;595;565;582;571;582;21,816668;22,566666;21,225;23,366667;21,933334;21,933334;17,258334;17,683333;16,5833335;18,4791665;17,2999995;17,2999995;12,7;12,8;11,941667;13,591666;12,666665;12,7;9,233334
;34003;agde;34;6;occitanie;43,3092957;3,4841318;595;574;546;564;552;564;21,675001;22,425003;21,108334;23,175001;21,800001;21,800001;17,5291675;17,975002;16,8875005;18,7458335;17,5875005;17,5875005;13,383334;13,525001;12,666667;14,316666;13,375;13,383334;8,416667
;34004;agel;34;3;occitanie;43,3479614;2,8535292;639;622;587;611;604;611;20,608334;21,391668;19,933332;22,183332;20,724998;20,724998;16,2250005;16,616667;15,4791665;17,4374995;16,2791665;16,2791665;11,841667;11,841666;11,025001;12,691667;11,833335;11,841666;8,883332
;34006;aigne;34;3;occitanie;43,3260345;2,7927752;631;613;580;605;597;605;20,750002;21,550001;20,074999;22,358332;20,858334;20,858334;16,383334;16,766668;15,620833;17,5958335;16,425;16,425;12,016666;11,983335;11,166667;12,833335;11,991666;11,991666;8,866668
;30003;aigues mortes;30;6;occitanie;43,5505409;4,1841888;696;677;639;655;642;655;21,933332;22,533333;21,275;23,300001;21,941668;21,941668;17,420833;17,795833;16,6874995;18,5458345;17,354167;17,420833;12,908334;13,058333;12,099999;13,791668;12,766666;12,908334;9,033334
;11001;aigues vives;11;1;occitanie;43,2351379;2,5328343;663;641;611;632;624;632;20,9;21,716667;20,199997;22,475;21,058332;21,058332;16,383333;16,7791665;15,616665;17,5916675;16,4833325;16,4833325;11,866666;11,841666;11,033333;12,708335;11,908333;11,866666;9,191666
;30004;aigues vives;30;5;occitanie;43,7343712;4,1911063;733;708;666;686;674;686;22,15;22,758337;21,416666;23,550001;22,116667;22,15;17,2208325;17,579169;16,4291665;18,3458335;17,1249995;17,2208325;12,291665;12,400001;11,441667;13,141666;12,133332;12,291665;9,858335
;34007;aigues vives;34;3;occitanie;43,3478889;2,8253129;647;627;594;617;610;617;20,499998;21,283335;19,8;22,074999;20,608335;20,608335;16,108332;16,487501;15,341666;17,3124995;16,158334;16,158334;11,716666;11,691667;10,883332;12,55;11,708333;11,708333;8,900002
;30006;aimargues;30;5;occitanie;43,6718559;4,2038946;717;696;655;672;663;672;22,283333;22,883333;21,566666;23,675001;22,283335;22,283335;17,3041665;17,658333;16,520832;18,429167;17,229167;17,3041665;12,325;12,433333;11,474998;13,183333;12,174999;12,325;9,958335
;11003;ajac;11;1;occitanie;43,044693;2,1365159;765;732;700;720;713;720;20,191668;21,05;19,508333;21,766665;20,375002;20,375002;15,400001;15,8208335;14,645833;16,620832;15,512501;15,512501;10,608334;10,591667;9,783333;11,474999;10,65;10,608334;9,766668
;11004;alaigne;11;1;occitanie;43,0979767;2,0920765;788;756;721;740;736;740;19,958334;20,841667;19,283335;21,550001;20,141668;20,141668;15,15;15,5875;14,395834;16,379168;15,2791675;15,2791675;10,341666;10,333333;9,508333;11,208335;10,416667;10,341666;9,800002
;11008;alet les bains;11;1;occitanie;42,9941978;2,2586849;772;734;707;726;719;726;19,383333;20,216667;18,683334;20,933332;19,558332;19,558332;14,9333335;15,345833;14,1625;16,133332;15,0416665;15,0416665;10,483334;10,474999;9,641666;11,333332;10,525001;10,483334;9,074998
;34009;alignan du vent;34;3;occitanie;43,4688721;3,339623;618;596;564;583;573;583;21,616667;22,358332;21,016666;23,15;21,716667;21,716667;17,0833335;17,495833;16,391666;18,2916665;17,1125005;17,1125005;12,55;12,633334;11,766666;13,433333;12,508334;12,55;9,166667
;11009;alzonne;11;1;occitanie;43,2652245;2,174803;746;721;687;706;702;706;20,40833;21,266668;19,733334;22,016665;20,566666;20,566666;15,687498;16,1125005;14,929167;16,91249825;15,7875;15,7875;10,966666;10,958333;10,125;11,8083315;11,008334;10,966666;9,6
;34010;aniane;34;3;occitanie;43,6833763;3,5922244;665;637;602;622;614;622;20,9;21,6;20,266668;22,433334;20,975;20,975;16,508334;16,8874995;15,7791675;17,691668;16,5000005;16,508334;12,116668;12,174999;11,291667;12,950002;12,025001;12,116668;8,858332
;11010;antugnac;11;1;occitanie;42,962204;2,2189729;805;765;735;755;749;755;19,225;20,041666;18,499998;20,75;19,375;19,375;14,595834;14,995833;13,799999;15,7666665;14,6833335;14,6833335;9,966668;9,95;9,1;10,783333;9,991667;9,966668;9,408332
;30012;aramon;30;5;occitanie;43,9043541;4,6832366;782;764;714;733;721;733;22,15833;22,716667;21,300001;23,516668;22,058332;22,15833;17,145831;17,4500005;16,245834;18,2250005;16,966666;17,145831;12,133332;12,183334;11,191667;12,933333;11,875;12,133332;10,024998
;66008;argeles sur mer;66;2;occitanie;42,5350876;3,0242193;625;575;577;598;574;577;20,308334;21,025;19,525;21,666666;20,391665;20,391665;16,3166675;16,7;15,483333;17,395833;16,304166;16,3166675;12,325001;12,375;11,441666;13,125;12,216667;12,325001;8,066664
;11012;argeliers;11;6;occitanie;43,3113365;2,9104886;607;590;559;580;572;580;21,258333;22,074999;20,599998;22,841667;21,375;21,375;16,8;17,2083325;16,0583315;18,0249995;16,858333;16,858333;12,341667;12,341666;11,516665;13,208332;12,341666;12,341666;9,033334
;34012;argelliers;34;4;occitanie;43,7308121;3,6526229;742;717;675;696;687;696;19,608335;20,316666;18,966667;21,133333;19,658333;19,658333;15,445834;15,816666;14,7083335;16,608333;15,4125;15,445834;11,283333;11,316666;10,45;12,083333;11,166667;11,283333;8,375
;11013;argens minervois;11;6;occitanie;43,245739;2,7709413;606;591;558;580;572;580;21,425001;22,199999;20,716667;22,958334;21,508333;21,508333;16,9583335;17,329166;16,179167;18,1416675;16,999999;16,999999;12,491666;12,458333;11,641667;13,325001;12,491665;12,491665;9,016668
