Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34001;abeilhan;34;5;occitanie;43,457634;3,2998164;622;621;597;595;585;597;21,091665;21,625;20,575;22,008331;20,90833;21,091665;16,466666;16,8500005;15,9833325;17,2041665;16,29583075;16,466666;11,841667;12,075001;11,391665;12,400002;11,6833315;11,841667;9,249998
;34002;adissan;34;3;occitanie;43,5350037;3,4260292;627;624;600;598;589;600;21,133333;21,666666;20,641666;22,091665;20,966667;21,133333;16,579166;16,954166;16,0916665;17,3124995;16,404167;16,579166;12,024999;12,241666;11,541667;12,533334;11,841667;12,024999;9,108334
;34003;agde;34;6;occitanie;43,3092957;3,4841318;603;604;579;577;566;579;21,025;21,549997;20,541666;21,916666;20,866669;21,025;16,8791665;17,2499985;16,404166;17,5958335;16,704167;16,8791665;12,733333;12,95;12,266666;13,275001;12,541665;12,733333;8,291667
;34004;agel;34;3;occitanie;43,3479614;2,8535292;650;655;624;626;620;626;19,883333;20,449999;19,35;20,875002;19,733335;19,883333;15,5083325;15,883333;14,9875005;16,2625015;15,354167;15,5083325;11,133332;11,316667;10,625001;11,650001;10,974999;11,133332;8,750001
;34006;aigne;34;3;occitanie;43,3260345;2,7927752;641;647;618;618;614;618;20,016668;20,608335;19,483334;20,983332;19,866667;20,016668;15,6583335;16,037501;15,1375005;16,395833;15,520833;15,6583335;11,299999;11,466667;10,791667;11,808334;11,174999;11,299999;8,716669
;30003;aigues mortes;30;6;occitanie;43,5505409;4,1841888;707;706;679;671;655;679;21,283333;21,691666;20,741667;22,075003;21,041666;21,283333;16,754167;17,0666665;16,225;17,4041685;16,495833;16,754167;12,225001;12,441667;11,708333;12,733334;11,95;12,225001;9,058332
;11001;aigues vives;11;1;occitanie;43,2351379;2,5328343;674;672;647;647;643;647;20,15;20,749998;19,6;21,133333;20,033335;20,15;15,6541665;16,0416655;15,1166665;16,4;15,537501;15,6541665;11,158333;11,333333;10,633333;11,666667;11,041667;11,158333;8,991667
;30004;aigues vives;30;5;occitanie;43,7343712;4,1911063;743;737;713;702;691;713;21,441666;21,891668;20,858335;22,291666;21,191668;21,441666;16,5166665;16,8541675;15,962501;17,1874995;16,254167;16,5166665;11,591667;11,816667;11,066667;12,083333;11,316666;11,591667;9,849999
;34007;aigues vives;34;3;occitanie;43,3478889;2,8253129;658;661;631;633;628;633;19,758333;20,333334;19,208334;20,741667;19,608335;19,758333;15,3791665;15,745834;14,85;16,1249995;15,2375005;15,3791665;11;11,158334;10,491666;11,508332;10,866666;11;8,758333
;30006;aimargues;30;5;occitanie;43,6718559;4,2038946;730;725;700;692;676;700;21,583334;22,016665;21,016666;22,416666;21,325;21,583334;16,6;16,929166;16,058332;17,266667;16,3374995;16,6;11,616666;11,841667;11,099998;12,116668;11,349999;11,616666;9,966668
;11003;ajac;11;1;occitanie;43,044693;2,1365159;777;762;746;741;738;746;19,425;20,041666;18,875;20,425;19,325;19,425;14,6625005;15,0625;14,133333;15,4291665;14,5625;14,6625005;9,900001;10,083334;9,391666;10,433333;9,8;9,900001;9,524999
;11004;alaigne;11;1;occitanie;43,0979767;2,0920765;802;785;768;765;760;768;19,2;19,816664;18,65833;20,216665;19,1;19,2;14,429167;14,820832;13,891665;15,191665;14,325;14,429167;9,658334;9,825;9,125;10,166665;9,55;9,658334;9,541666
;11008;alet les bains;11;1;occitanie;42,9941978;2,2586849;786;772;751;748;743;751;18,625;19,216665;18,083334;19,608334;18,499998;18,625;14,2041665;14,574999;13,6625005;14,945834;14,087499;14,2041665;9,783333;9,933333;9,241667;10,283334;9,675;9,783333;8,841667
;34009;alignan du vent;34;3;occitanie;43,4688721;3,339623;628;623;601;598;589;601;20,925001;21,449999;20,45;21,85;20,758333;20,925001;16,3875;16,7625;15,916667;17,1125;16,216666;16,3875;11,849999;12,075001;11,383334;12,375;11,674999;11,849999;9,075002
;11009;alzonne;11;1;occitanie;43,2652245;2,174803;756;747;732;728;723;732;19,650002;20,258331;19,083334;20,666668;19,533333;19,650002;14,950001;15,3416655;14,408334;15,716667;14,8458335;14,950001;10,25;10,425;9,733334;10,766666;10,158334;10,25;9,400002
;34010;aniane;34;3;occitanie;43,6833763;3,5922244;677;665;645;638;630;645;20,199999;20,708334;19,666666;21,133333;20,016666;20,199999;15,787499;16,170834;15,2833335;16,5083335;15,591667;15,787499;11,374999;11,633334;10,900001;11,883334;11,166668;11,374999;8,825
;11010;antugnac;11;1;occitanie;42,962204;2,2189729;820;804;783;779;774;783;18,45;19,041668;17,891665;19,441668;18,333334;18,45;13,8458335;14,220834;13,3041655;14,5875005;13,7333335;13,8458335;9,241667;9,4;8,716666;9,733333;9,133333;9,241667;9,208333
;30012;aramon;30;5;occitanie;43,9043541;4,6832366;797;790;769;754;739;769;21,408333;21,824999;20,766668;22,233332;21,116667;21,408333;16,379166;16,7249995;15,7791675;17,0374995;16,0875;16,379166;11,349999;11,625;10,791667;11,841667;11,058333;11,349999;10,058334
;66008;argeles sur mer;66;2;occitanie;42,5350876;3,0242193;638;641;614;609;597;614;19,575003;20,1;19,05;20,425;19,45;19,575003;15,5958345;15,933333;15,0583335;16,2583335;15,4250005;15,5958345;11,616666;11,766666;11,066667;12,091667;11,400001;11,616666;7,958337
;11012;argeliers;11;6;occitanie;43,3113365;2,9104886;617;622;594;595;590;595;20,550001;21,108332;19,999998;21,516665;20,383333;20,550001;16,0958335;16,4624995;15,562499;16,833332;15,9333335;16,0958335;11,641666;11,816667;11,125;12,149999;11,483334;11,641666;8,908335
;34012;argelliers;34;4;occitanie;43,7308121;3,6526229;757;743;721;714;706;721;18,9;19,391666;18,333334;19,816668;18,683332;18,9;14,716667;15,0833325;14,1875;15,4291675;14,504166;14,716667;10,533334;10,774999;10,041666;11,041667;10,325;10,533334;8,366666
;11013;argens minervois;11;6;occitanie;43,245739;2,7709413;616;623;594;595;589;595;20,658333;21,275;20,124998;21,633333;20,516665;20,658333;16,2125;16,6;15,691665;16,9583335;16,0749985;16,2125;11,766667;11,925;11,258332;12,283334;11,633332;11,766667;8,891666
;11014;armissan;11;6;occitanie;43,1873894;3,0890152;606;612;584;585;575;585;20,299997;20,866667;19,791666;21,225;20,125;20,299997;16,162498;16,529167;15,6541665;16,887499;15,995834;16,162498;12,024999;12,191667;11,516667;12,549998;11,866668;12,024999;8,274998
;11016;arquettes en val;11;1;occitanie;43,1050911;2,4973755;779;775;745;747;741;747;18,275;18,866667;17,725;19,241667;18,166666;18,275;14,1541665;14,525;13,6125;14,8958335;14,045833;14,1541665;10,033333;10,183333;9,5;10,55;9,925;10,033333;8,241667
;11018;arzens;11;1;occitanie;43,2012634;2,204571;802;792;771;766;762;771;18,875;19,483334;18,316668;19,891665;18,766668;18,875;14,375;14,7625005;13,8250005;15,1374995;14,2708345;14,375;9,875;10,041667;9,333333;10,383334;9,775001;9,875;9
;30018;asperes;30;7;occitanie;43,8070602;4,0390196;749;735;715;704;695;715;20,525;21;19,925001;21,416666;20,291666;20,525;15,766667;16,1166665;15,195834;16,454166;15,520833;15,766667;11,008334;11,233333;10,466667;11,491666;10,75;11,008334;9,516666
;34013;aspiran;34;3;occitanie;43,5671921;3,4483216;637;634;612;606;600;612;20,741665;21,258333;20,224998;21,699999;20,591667;20,741665;16,274999;16,6500005;15,774999;17,008333;16,1041675;16,274999;11,808333;12,041668;11,325;12,316667;11,616668;11,808333;8,933332
;34014;assas;34;7;occitanie;43,7104454;3,8982704;719;709;687;679;668;687;20,449999;20,908335;19,875;21,333334;20,233332;20,449999;15,795833;16,1458345;15,25;16,483334;15,5666665;15,795833;11,141667;11,383334;10,625;11,633334;10,900001;11,141667;9,308332
