Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34001;abeilhan;34;5;occitanie;43,457634;3,2998164;615;570;601;580;574;580;21,266665;22,283333;20,675001;22,258333;20,675001;21,266665;16,654166;17,366667;16,0708335;17,416667;16,3041675;16,654166;12,041667;12,450001;11,466666;12,575001;11,933334;12,041667;9,224998
;34002;adissan;34;3;occitanie;43,5350037;3,4260292;620;574;605;583;576;583;21,324999;22,341667;20,733332;22,308334;20,733332;21,324999;16,758333;17,4833335;16,179166;17,525001;16,3999995;16,758333;12,191667;12,625;11,625;12,741668;12,066667;12,191667;9,133332
;34003;agde;34;6;occitanie;43,3092957;3,4841318;598;550;583;564;555;564;21,191668;22,199999;20,641666;22,150002;20,641666;21,191668;17,0458345;17,774999;16,491667;17,8125005;16,7083325;17,0458345;12,900001;13,349999;12,341668;13,474999;12,774999;12,900001;8,291667
;34004;agel;34;3;occitanie;43,3479614;2,8535292;644;598;630;613;603;613;20,066666;21,166668;19,458334;21,1;19,458334;20,066666;15,6874995;16,4208335;15,0875;16,4666665;15,3458345;15,6874995;11,308333;11,674999;10,716666;11,833333;11,233335;11,308333;8,758333
;34006;aigne;34;3;occitanie;43,3260345;2,7927752;635;589;622;604;594;604;20,208334;21,325;19,591667;21,25;19,591667;20,208334;15,8416665;16,5750005;15,2333335;16,620834;15,4874995;15,8416665;11,474999;11,825001;10,875;11,991668;11,383332;11,474999;8,733335
;30003;aigues mortes;30;6;occitanie;43,5505409;4,1841888;700;647;678;655;649;655;21,441666;22,308332;20,808332;22,308334;20,808332;21,441666;16,9291665;17,591666;16,2999995;17,6333345;16,49583175;16,9291665;12,416667;12,875;11,791667;12,958335;12,1833315;12,416667;9,024999
;11001;aigues vives;11;1;occitanie;43,2351379;2,5328343;665;618;649;632;624;632;20,35;21,45833;19,75;21,383333;19,75;20,35;15,8499995;16,566665;15,245834;16,6249995;15,5291665;15,8499995;11,349999;11,675;10,741668;11,866666;11,308333;11,349999;9,000001
;30004;aigues vives;30;5;occitanie;43,7343712;4,1911063;737;678;713;688;681;688;21,616667;22,525;20,941666;22,516668;20,941666;21,616667;16,6958345;17,3666665;16,029166;17,4041675;16,245833;16,6958345;11,775002;12,208333;11,116666;12,291667;11,55;11,775002;9,841665
;34007;aigues vives;34;3;occitanie;43,3478889;2,8253129;650;605;638;620;610;620;19,96667;21,05;19,349998;20,966665;19,349998;19,96667;15,5833355;16,2958335;14,970832;16,329166;15,2249995;15,5833355;11,200001;11,541667;10,591666;11,691667;11,100001;11,200001;8,766669
;30006;aimargues;30;5;occitanie;43,6718559;4,2038946;721;665;699;675;667;675;21,758331;22,65;21,075;22,64167;21,075;21,758331;16,7833325;17,445833;16,1249995;17,4791685;16,325;16,7833325;11,808334;12,241666;11,174999;12,316667;11,575;11,808334;9,949997
;11003;ajac;11;1;occitanie;43,044693;2,1365159;771;709;740;725;716;725;19,641665;20,766666;19,066668;20,658333;19,066668;19,641665;14,8791665;15,608333;14,2791675;15,6249995;14,5541675;14,8791665;10,116668;10,45;9,491667;10,591666;10,041667;10,116668;9,524997
;11004;alaigne;11;1;occitanie;43,0979767;2,0920765;794;731;763;746;739;746;19,408333;20,558332;18,85;20,441666;18,85;19,408333;14,6249995;15,366666;14,0374995;15,383333;14,3291665;14,6249995;9,841666;10,175;9,224999;10,325;9,808333;9,841666;9,566667
;11008;alet les bains;11;1;occitanie;42,9941978;2,2586849;780;713;749;731;722;731;18,833332;19,941668;18,25;19,85;18,25;18,833332;14,408333;15,1166675;13,8;15,1458335;14,0750005;14,408333;9,983334;10,291667;9,35;10,441667;9,900001;9,983334;8,849998
;34009;alignan du vent;34;3;occitanie;43,4688721;3,339623;620;574;605;585;577;585;21,091667;22,141668;20,516666;22,083334;20,516666;21,091667;16,566667;17,3000005;15,9958325;17,333333;16,2125;16,566667;12,041667;12,458333;11,474999;12,583332;11,908334;12,041667;9,05
