Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total_avril_septembre;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34001;abeilhan;34;5;occitanie;43,457634;3,2998164;253;217;225;215;230;225;27,299997;28,300003;26,766668;29,066666;27,450003;27,450003;22,166665;22,5666685;21,5250005;23,3916665;22,1750015;22,1750015;17,033333;16,833334;16,283333;17,716667;16,9;16,9;10,550003
;34002;adissan;34;3;occitanie;43,5350037;3,4260292;255;217;225;216;229;225;27,4;28,35;26,866667;29,133331;27,533333;27,533333;22,3083325;22,683333;21,666667;23,508332;22,291667;22,3083325;17,216665;17,016666;16,466667;17,883333;17,050001;17,050001;10,483332
;34003;agde;34;6;occitanie;43,3092957;3,4841318;239;201;212;202;216;212;26,983332;27,933332;26,466667;28,650002;27,15;27,15;22,399999;22,8249985;21,791667;23,616668;22,4249995;22,4249995;17,816666;17,716665;17,116667;18,583334;17,699999;17,716665;9,433335
;34004;agel;34;3;occitanie;43,3479614;2,8535292;265;233;240;229;244;240;26,116667;27,200003;25,5;27,983332;26,266665;26,266665;21,1750005;21,5666685;20,475;22,4333325;21,191666;21,191666;16,233334;15,933334;15,45;16,883333;16,116667;16,116667;10,149998
;34006;aigne;34;3;occitanie;43,3260345;2,7927752;261;229;238;227;241;238;26,300003;27,383333;25,666666;28,183332;26,433334;26,433334;21,3500015;21,7166665;20,616666;22,599999;21,341667;21,3500015;16,4;16,05;15,566666;17,016666;16,25;16,25;10,183334
;30003;aigues mortes;30;6;occitanie;43,5505409;4,1841888;271;230;241;230;246;241;27,516665;28,216667;26,849998;28,950003;27,516668;27,516668;22,616666;22,916667;21,8583325;23,6500015;22,475001;22,616666;17,716667;17,616667;16,866667;18,35;17,433334;17,616667;9,900001
;11001;aigues vives;11;1;occitanie;43,2351379;2,5328343;279;243;254;241;256;254;26,533333;27,666666;25,9;28,416666;26,75;26,75;21,3416665;21,7583325;20,6249995;22,625;21,4333335;21,4333335;16,15;15,849999;15,349999;16,833334;16,116667;16,116667;10,633333
;30004;aigues vives;30;5;occitanie;43,7343712;4,1911063;294;252;262;251;266;262;27,949999;28,699999;27,216667;29,449999;27,9;27,949999;22,541666;22,8166665;21,7333335;23,5666665;22,358334;22,541666;17,133333;16,933334;16,25;17,683334;16,816668;16,933334;11,016665
;34007;aigues vives;34;3;occitanie;43,3478889;2,8253129;269;236;244;232;247;244;26,03333;27,1;25,383333;27,883331;26,166666;26,166666;21,066665;21,425;20,333333;22,3083325;21,075;21,075;16,1;15,75;15,283333;16,733334;15,983334;15,983334;10,183332
;30006;aimargues;30;5;occitanie;43,6718559;4,2038946;284;245;253;242;260;253;28,066666;28,799997;27,333334;29,550001;28,066668;28,066668;22,625;22,9083315;21,8166675;23,6500015;22,4750005;22,625;17,183334;17,016666;16,300001;17,750002;16,883333;17,016666;11,050002
;11003;ajac;11;1;occitanie;43,044693;2,1365159;347;301;312;297;313;312;25,65;26,883331;25,099998;27,549997;25,950003;25,950003;20,258334;20,733332;19,616666;21,5833315;20,4083355;20,4083355;14,866668;14,583333;14,133334;15,616666;14,866668;14,866668;11,083335
;11004;alaigne;11;1;occitanie;43,0979767;2,0920765;362;314;325;309;326;325;25,433332;26,666664;24,883333;27,333334;25,699999;25,699999;19,999999;20,4916655;19,358333;21,325;20,149999;20,149999;14,566666;14,316667;13,833333;15,316666;14,599999;14,566666;11,133333
;11008;alet les bains;11;1;occitanie;42,9941978;2,2586849;351;304;317;300;317;317;24,683334;25,866667;24,083334;26,550001;24,966665;24,966665;19,7000005;20,1583335;19,0083335;21,0000005;19,833333;19,833333;14,716667;14,45;13,933333;15,45;14,700001;14,700001;10,266664
;34009;alignan du vent;34;3;occitanie;43,4688721;3,339623;255;218;226;217;230;226;27,150002;28,116667;26,616667;28,9;27,283333;27,283333;22,0916675;22,4750005;21,4333335;23,291667;22,075;22,0916675;17,033333;16,833334;16,25;17,683334;16,866667;16,866667;10,416666
;11009;alzonne;11;1;occitanie;43,2652245;2,174803;321;281;290;276;292;290;26,049997;27,233332;25,483332;27,949999;26,266665;26,266665;20,608331;21,05;19,9416665;21,891666;20,708332;20,708332;15,166665;14,866668;14,400001;15,833333;15,149999;15,149999;11,116666
;34010;aniane;34;3;occitanie;43,6833763;3,5922244;274;231;239;233;247;239;26,41667;27,300001;25,816668;28,116669;26,483335;26,483335;21,533335;21,8500005;20,8333345;22,666668;21,4583335;21,533335;16,65;16,4;15,850001;17,216667;16,433332;16,433332;10,050003
;11010;antugnac;11;1;occitanie;42,962204;2,2189729;375;325;338;320;338;338;24,566666;25,733332;23,933332;26,400002;24,816668;24,816668;19,3916665;19,841666;18,6833325;20,6583345;19,500001;19,500001;14,216667;13,95;13,433333;14,916667;14,183334;14,183334;10,633334
