Unnamed: 0;Municipality;nom_commune;code_departement;cluster;nom_region;latitude;longitude;EC_Earth_precipitation_total;HadGEM3_precipitation_total;MPI-ESM1_precipitation_total;UKESM1_precipitation_total;IPSL_precipitation_total;precipitation_total_avril_septembre;EC_Earth_tmax;HadGEM3_tmax;MPI-ESM1_tmax;UKESM1_tmax_mean;IPSL_tmax_mean;tmax_mean;EC_Earth_tmoy;HadGEM3_tmoy;MPI-ESM1_tmoy;UKESM1_tmoy;IPSL_tmoy;temp_moyenne;EC_Earth_tmin;HadGEM3_tmin;MPI-ESM1_tmin;UKESM1_tmin;IPSL_tmin;tmin_mean;amplitude_thermique
#;;a;;;;;;mm;mm;mm;mm;mm;mm;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C;°C
;34001;abeilhan;34;5;occitanie;43,457634;3,2998164;258;231;231;219;231;231;26,883333;27,900002;26,28333;28,449999;27,133331;27,133331;21,75;22,3083345;21,124998;22,8833335;21,8499985;21,8499985;16,616667;16,716667;15,966666;17,316668;16,566666;16,616667;10,516664
;34002;adissan;34;3;occitanie;43,5350037;3,4260292;260;233;232;220;231;232;27;27,96667;26,416666;28,533333;27,233332;27,233332;21,883333;22,4166685;21,283333;23,0083335;21,983333;21,983333;16,766666;16,866667;16,15;17,483334;16,733334;16,766666;10,466666
;34003;agde;34;6;occitanie;43,3092957;3,4841318;242;216;218;206;217;217;26,616667;27,549997;26,033333;28,116667;26,85;26,85;22,0249995;22,5583315;21,408334;23,158333;22,125;22,125;17,433332;17,566666;16,783335;18,199999;17,4;17,433332;9,416668
;34004;agel;34;3;occitanie;43,3479614;2,8535292;269;245;244;236;244;244;25,666666;26,783335;25,033333;27,333334;26;26;20,7249995;21,308334;20,0749995;21,908334;20,90833425;20,90833425;15,783333;15,833333;15,116666;16,483334;15,8166685;15,8166685;10,1833315
;34006;aigne;34;3;occitanie;43,3260345;2,7927752;266;242;239;233;241;241;25,816668;26,949999;25,15;27,516668;26,150002;26,150002;20,8666675;21,4499995;20,1916675;22,083334;21,050001;21,050001;15,916667;15,95;15,233335;16,65;15,95;15,95;10,200002
;30003;aigues mortes;30;6;occitanie;43,5505409;4,1841888;279;253;252;234;248;252;27,133333;27,85;26,516668;28,383333;27,199999;27,199999;22,2249995;22,633333;21,550001;23,166666;22,158333;22,2249995;17,316666;17,416666;16,583334;17,949999;17,116667;17,316666;9,883333
;11001;aigues vives;11;1;occitanie;43,2351379;2,5328343;285;258;256;247;257;257;26,033333;27,233335;25,433332;27,733332;26,483332;26,483332;20,858333;21,483334;20,216666;22,074999;21,141666;21,141666;15,683333;15,733333;15;16,416666;15,8;15,733333;10,749999
;30004;aigues vives;30;5;occitanie;43,7343712;4,1911063;303;276;273;254;271;273;27,5;28,266665;26,85;28,883331;27,566668;27,566668;22,091667;22,5083325;21,4166665;23,083332;22,041667;22,091667;16,683334;16,75;15,983333;17,283333;16,516666;16,683334;10,883334
;34007;aigues vives;34;3;occitanie;43,3478889;2,8253129;273;249;247;240;247;247;25,533333;26,683334;24,916666;27,233332;25,883333;25,883333;20,5833335;21,183334;19,9249995;21,791666;20,7583335;20,7583335;15,633334;15,683334;14,933333;16,35;15,633334;15,633334;10,249999
