type_mvt;code_couleur;annee;volume;surface;code_cepage;cvi;rendement;commune;rendement_plafonne_RS;rendement_plafonne_RG_BL;Zone;code_departement;departement
DECR;BL;2011;30.0;0.92;;6601607700;32,61;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;67.0;0.0;;6601602700;;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;33.0;1.2;;6601602700;27,5;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;6.0;0.2;;6601623340;30;66016;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;60.0;1.51;;6605309460;39,74;66053;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;104.0;3.77;;6601608650;27,59;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;50.0;1.25;;6605304130;40;66053;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;75.0;3.62;;6614821720;20,72;66148;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;53.0;1.66;;6614821720;31,93;66148;0;90;0;66;Pyrénées-Orientales
DECR;BL;2011;2299.0;73.11;;6601613870;31,45;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;2128.0;93.21;;6601613870;22,83;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;81.0;5.51;;6605309380;14,7;66053;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;33.0;0.0;;6601602700;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;75.0;0.0;;6614821720;;66148;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;53.0;0.0;;6614821720;;66148;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;30.0;0.0;;6601607700;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;449.0;0.0;;6601609210;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;81.0;0.0;;6605309380;;66053;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;2203.0;0.0;;6601613870;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;2112.0;0.0;;6601613870;;66016;0;90;0;66;Pyrénées-Orientales
DECR;RG;2011;449.0;15.32;;6601609210;29,31;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;6.0;0.0;;6601623340;;66016;0;90;0;66;Pyrénées-Orientales
REVE;BL;2011;60.0;0.0;;6605309460;;66053;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;104.0;0.0;;6601608650;;66016;0;90;0;66;Pyrénées-Orientales
REVE;RG;2011;50.0;0.0;;6605304130;;66053;0;90;0;66;Pyrénées-Orientales
